Chemical Name,Measure Names,Measure Values
Metformin Hydrochloride/Rosiglitazone,Total Actual Cost,134.07
Metformin Hydrochloride/Pioglitazone,Total Actual Cost,2819238.00
Metformin Hydrochloride,Total Actual Cost,111518044.74
Mesterolone,Total Actual Cost,20156.63
Mesna,Total Actual Cost,8906.49
Mesalazine (Systemic),Total Actual Cost,76325575.34
Meropenem,Total Actual Cost,182103.40
Mercaptopurine,Total Actual Cost,5619138.83
Mercaptamine Hydrochloride,Total Actual Cost,154667.78
Mercaptamine,Total Actual Cost,266822.01
Mepyramine Maleate,Total Actual Cost,8203.94
Meptazinol Hydrochloride,Total Actual Cost,1055597.06
Meprobamate,Total Actual Cost,400268.83
Mepivacaine Hydrochloride,Total Actual Cost,2901.19
Mepenzolate Bromide,Total Actual Cost,1205.82
Mepacrine Hydrochloride,Total Actual Cost,298382.64
Menthol,Total Actual Cost,904406.05
Menotrophin,Total Actual Cost,105913.14
Meningococcal A + C + W135 + Y Vaccine,Total Actual Cost,3818246.40
Menadiol Sodium Phosphate,Total Actual Cost,798795.11
Memantine Hydrochloride,Total Actual Cost,4135493.88
Melphalan,Total Actual Cost,158.63
Melperone Hydrochloride,Total Actual Cost,1746.69
Meloxicam,Total Actual Cost,877100.97
Melatonin,Total Actual Cost,23255400.27
Megestrol Acetate,Total Actual Cost,255494.38
Mefloquine Hydrochloride,Total Actual Cost,301016.56
Mefenamic Acid,Total Actual Cost,5436145.55
Medroxyprogesterone Acetate,Total Actual Cost,6455663.19
Medicated Stockings,Total Actual Cost,654741.97
Mecysteine Hydrochloride,Total Actual Cost,333.33
Mecobalamin,Total Actual Cost,123.13
Meclozine Hydrochloride,Total Actual Cost,107.08
Mecasermin,Total Actual Cost,6715.78
Mebeverine Hydrochloride,Total Actual Cost,20807348.37
Mebeverine HCl Compound Preparations,Total Actual Cost,1994239.06
Mebendazole,Total Actual Cost,241451.75
Measles. Mumps & Rubella Vaccine,Total Actual Cost,9312.26
Maraviroc,Total Actual Cost,8352.96
Mannitol,Total Actual Cost,8830.18
Mandelic Acid,Total Actual Cost,96.25
Maltodextrin,Total Actual Cost,143138.46
Malic Acid,Total Actual Cost,189.79
Malathion,Total Actual Cost,279671.29
Magnesium Trisilicate,Total Actual Cost,106722.46
Magnesium Sulphate,Total Actual Cost,9.16
Magnesium Sulfate,Total Actual Cost,47763.60
Magnesium Oxide,Total Actual Cost,744768.53
Magnesium Orotate,Total Actual Cost,1704.27
Magnesium Lactate,Total Actual Cost,104161.57
Magnesium Hydroxide,Total Actual Cost,412543.80
Magnesium Glycerophosphate,Total Actual Cost,4649656.41
Magnesium Citrate,Total Actual Cost,106387.31
Magnesium Carbonate,Total Actual Cost,117164.80
Magnesium Aspartate,Total Actual Cost,545846.94
Macrogol 4000,Total Actual Cost,33661.13
Macrogol 3350,Total Actual Cost,36573818.41
Macitentan,Total Actual Cost,4333.68
Lymphoedema Garments,Total Actual Cost,12182876.12
Lymecycline,Total Actual Cost,15153842.91
Lutropin Alfa,Total Actual Cost,145.15
Lurasidone,Total Actual Cost,137201.35
Lubricant Gels,Total Actual Cost,736687.76
Lubiprostone,Total Actual Cost,133469.90
Loxapine Succinate,Total Actual Cost,10.91
Low Protein Snacks,Total Actual Cost,21133.13
Low Protein Pasta,Total Actual Cost,135912.13
Low Protein Mixes,Total Actual Cost,402111.21
Low Protein Miscellaneous,Total Actual Cost,7669.51
Low Protein Meals,Total Actual Cost,76349.27
Low Protein Grains/Flours,Total Actual Cost,20537.00
Low Protein Desserts,Total Actual Cost,27058.12
Low Protein Cooking Aids,Total Actual Cost,14765.68
Low Protein Cereals,Total Actual Cost,37354.81
Low Protein Cakes,Total Actual Cost,33985.75
Low Protein Bread,Total Actual Cost,147088.44
Low Protein Biscuits,Total Actual Cost,107500.82
Low Friction Products,Total Actual Cost,1052022.79
Loteprednol Etabonate,Total Actual Cost,209988.57
Losartan Potassium With Diuretic,Total Actual Cost,1518066.63
Losartan Potassium,Total Actual Cost,14680005.92
Lormetazepam,Total Actual Cost,674360.28
Lorazepam,Total Actual Cost,3252039.54
Loratadine,Total Actual Cost,3373534.84
Loprazolam Mesilate,Total Actual Cost,956807.28
Lopinavir & Ritonavir,Total Actual Cost,1344.20
Loperamide Hydrochloride & Simeticone,Total Actual Cost,59887.89
Loperamide Hydrochloride,Total Actual Cost,11901077.49
Lofexidine Hydrochloride,Total Actual Cost,102529.14
Lofepramine Hydrochloride,Total Actual Cost,4471657.85
Lodoxamide Trometamol,Total Actual Cost,152108.27
Lixisenatide,Total Actual Cost,5170273.83
Lithium Citrate,Total Actual Cost,123971.88
Lithium Carbonate,Total Actual Cost,1302180.34
Lisinopril with Diuretic,Total Actual Cost,2225933.72
Lisinopril,Total Actual Cost,12900678.92
Lisdexamfetamine Dimesylate,Total Actual Cost,2203555.10
Liraglutide,Total Actual Cost,42033278.17
Liquorice,Total Actual Cost,3.09
Liquid Paraffin,Total Actual Cost,10454102.12
Liquefied Phenol,Total Actual Cost,1228.22
Liothyronine Sodium,Total Actual Cost,20287151.15
Lints,Total Actual Cost,13536.26
Linezolid,Total Actual Cost,621563.28
Linagliptin/Metformin,Total Actual Cost,1042904.57
Linagliptin,Total Actual Cost,25513356.44
Linaclotide,Total Actual Cost,1027098.25
Light Liquid Paraffin,Total Actual Cost,4145694.41
Lidocaine Hydrochloride,Total Actual Cost,19342020.67
Lidocaine & Tetracaine,Total Actual Cost,1907.45
Lidocaine,Total Actual Cost,452204.27
Levothyroxine Sodium & Liothyronine,Total Actual Cost,579374.12
Levothyroxine Sodium,Total Actual Cost,97084786.04
Levonorgestrel,Total Actual Cost,11150548.09
Levomepromazine Maleate,Total Actual Cost,1241335.53
Levomepromazine Hydrochloride,Total Actual Cost,1045876.86
Levofloxacin,Total Actual Cost,467127.41
Levodopa/Carbidopa/Entacapone,Total Actual Cost,10803747.09
Levodopa,Total Actual Cost,115.69
Levocetirizine,Total Actual Cost,634882.82
Levocarnitine,Total Actual Cost,1715844.62
Levobupivacaine Hydrochloride,Total Actual Cost,2606.05
Levobunolol Hydrochloride,Total Actual Cost,337064.11
Levetiracetam,Total Actual Cost,23601309.17
Levamisole Hydrochloride,Total Actual Cost,51387.42
Leuprorelin Acetate,Total Actual Cost,32358762.18
Letrozole,Total Actual Cost,3247130.15
Lercanidipine Hydrochloride,Total Actual Cost,7145372.85
Lenograstim,Total Actual Cost,53918.00
Lenalidomide,Total Actual Cost,31888.08
Leg Ulcer Wrap,Total Actual Cost,204.36
Leg Bags,Total Actual Cost,19161391.63
Leflunomide,Total Actual Cost,2327391.63
Latanoprost & Timolol,Total Actual Cost,2511080.47
Latanoprost,Total Actual Cost,9769551.79
Lanthanum Carbonate,Total Actual Cost,2714548.34
Lansoprazole,Total Actual Cost,39009624.23
Lanreotide,Total Actual Cost,5445770.08
Lamotrigine,Total Actual Cost,16634733.36
Lamivudine & Zidovudine,Total Actual Cost,4923.02
Lamivudine,Total Actual Cost,320829.65
Lactulose,Total Actual Cost,11072213.58
Lactic Acid,Total Actual Cost,5963.07
Lacosamide,Total Actual Cost,7829271.48
Lacidipine,Total Actual Cost,2159600.72
Labetalol Hydrochloride,Total Actual Cost,1510429.83
Ketotifen Fumarate,Total Actual Cost,126615.35
Ketorolac Trometamol,Total Actual Cost,186593.42
Ketoprofen,Total Actual Cost,1791591.30
Ketone Blood Testing Reagents,Total Actual Cost,4768940.40
Ketoconazole,Total Actual Cost,3174299.47
Ketanserin,Total Actual Cost,760.74
Ketamine Hydrochloride,Total Actual Cost,277915.93
Ketamine,Total Actual Cost,18058.65
Kaolin Light,Total Actual Cost,4206.02
Kaolin Heavy,Total Actual Cost,100.27
Jaw Rehabilitation Device,Total Actual Cost,60653.90
Japanese Encephalitis Vaccine,Total Actual Cost,19830.26
Ivermectin,Total Actual Cost,62260.46
Ivabradine,Total Actual Cost,11334213.53
Itraconazole,Total Actual Cost,2112441.91
Isradipine,Total Actual Cost,515598.69
Ispaghula Husk,Total Actual Cost,5504334.83
Isotretinoin,Total Actual Cost,1307124.74
Isosorbide Mononitrate,Total Actual Cost,25950645.64
Isosorbide Dinitrate,Total Actual Cost,933563.34
Isopropyl Alcohol,Total Actual Cost,1445.39
Isophane Insulin,Total Actual Cost,15824519.29
Isoniazid,Total Actual Cost,464217.74
Isometheptene Mucate,Total Actual Cost,18484.29
Isocarboxazid,Total Actual Cost,329182.66
Irrigation Washout Appliances,Total Actual Cost,964708.46
Irrigation Solutions,Total Actual Cost,3209214.57
Iron Sucrose,Total Actual Cost,6812.28
Iron Dextran,Total Actual Cost,47808.64
Iron Carboxymaltose,Total Actual Cost,5645.22
Iron & Folic Acid,Total Actual Cost,130619.04
Irbesartan with Diuretic,Total Actual Cost,1531830.43
Irbesartan,Total Actual Cost,5042957.18
Ipratropium Bromide,Total Actual Cost,7145679.93
Ipecacuanha,Total Actual Cost,15.15
Iodine Compounds,Total Actual Cost,50295.71
Iodine,Total Actual Cost,776.86
Intravenous Nutrition Supplements,Total Actual Cost,1009.11
Interferon Gamma,Total Actual Cost,69.45
Interferon Beta,Total Actual Cost,19264.76
Interferon Alpha,Total Actual Cost,29305.28
Insulin Zinc Suspension,Total Actual Cost,37831.11
Insulin Lispro,Total Actual Cost,17839044.66
Insulin Human,Total Actual Cost,487824.89
Insulin Glulisine,Total Actual Cost,2948534.18
Insulin Glargine,Total Actual Cost,73469089.98
Insulin Detemir,Total Actual Cost,40511497.44
Insulin Degludec,Total Actual Cost,3821954.19
Insulin Aspart,Total Actual Cost,69260857.51
Insert For Female Stress Incont,Total Actual Cost,45815.03
Ins Degludec/Liraglutide,Total Actual Cost,203473.63
INR Blood Testing Reagents,Total Actual Cost,2413234.72
Inosine Pranobex,Total Actual Cost,11853.30
Inhalation Solutions,Total Actual Cost,950588.38
Ingenol Mebutate,Total Actual Cost,1294653.18
Influenza H1N1(Split viron inact adjuv),Total Actual Cost,19.16
Influenza,Total Actual Cost,64267720.78
Indwelling Pleural Cath Drain System,Total Actual Cost,803713.75
Indoramin,Total Actual Cost,782761.53
Indometacin,Total Actual Cost,1004548.45
Indapamide,Total Actual Cost,9969121.34
Indacaterol/Glycopyrronium,Total Actual Cost,238594.45
Indacaterol Maleate,Total Actual Cost,1551817.90
Incontinence Sheaths,Total Actual Cost,10846979.64
Incontinence Sheath Fixing Strips & Adh,Total Actual Cost,317419.45
Incontinence Belts,Total Actual Cost,250.02
Imiquimod,Total Actual Cost,1607011.31
Imipramine Hydrochloride,Total Actual Cost,629391.63
Imipenem With Cilastatin,Total Actual Cost,185.07
Imidapril Hydrochloride,Total Actual Cost,132826.15
Imatinib Mesilate,Total Actual Cost,141580.55
Ileostomy Sets,Total Actual Cost,720.43
Ileostomy Bags,Total Actual Cost,63026680.69
Idebenone,Total Actual Cost,44984.96
Ichthammol,Total Actual Cost,19166.86
Icatibant Acetate,Total Actual Cost,2580.10
Ibuprofen/Pseudoephed HCl,Total Actual Cost,1.77
Ibuprofen Sodium Dihydrate,Total Actual Cost,711.30
Ibuprofen Lysine,Total Actual Cost,28618.45
Ibuprofen,Total Actual Cost,25092610.91
Ibrutinib,Total Actual Cost,1418.51
Ibandronic Acid,Total Actual Cost,904153.68
Hypromellose,Total Actual Cost,4502117.94
Hyoscine Hydrobromide,Total Actual Cost,1418397.87
Hyoscine Butylbromide,Total Actual Cost,5649679.97
Hyoscine,Total Actual Cost,2479096.11
Hyetellose,Total Actual Cost,888552.14
Hydroxyzine Hydrochloride,Total Actual Cost,1004852.41
Hydroxyprogesterone Caproate,Total Actual Cost,21.82
Hydroxychloroquine Sulfate,Total Actual Cost,4500455.13
Hydroxycarbamide,Total Actual Cost,915029.99
Hydroxocobalamin,Total Actual Cost,6141426.28
Hydromorphone Hydrochloride,Total Actual Cost,367064.07
Hydrogen Peroxide,Total Actual Cost,114179.21
Hydrocortisone Sodium Succinate,Total Actual Cost,25977.04
Hydrocortisone Sodium Phosphate,Total Actual Cost,25510.33
Hydrocortisone Butyrate,Total Actual Cost,330384.95
Hydrocortisone Acetate,Total Actual Cost,4325582.70
Hydrocortisone (Sodium Succinate),Total Actual Cost,449960.58
Hydrocortisone,Total Actual Cost,78063830.88
Hydrochlorothiazide,Total Actual Cost,61497.19
Hydralazine Hydrochloride,Total Actual Cost,1876688.43
Hyaluronidase,Total Actual Cost,13221.90
Hyaluronic Acid Sodium,Total Actual Cost,15299.78
Human Papillomavirus (Type 16 18),Total Actual Cost,7891.26
Human Papillomavirus (Type 6 11 16 18),Total Actual Cost,106941.49
Homatropine Hydrobromide,Total Actual Cost,873.46
Histrelin Acetate,Total Actual Cost,916.46
Hexylresorcinol & Benzalkonium Chloride,Total Actual Cost,86.39
Hexylresorcinol,Total Actual Cost,1878.15
Hexetidine,Total Actual Cost,8089.83
Hexachlorophene,Total Actual Cost,0.78
Hernia Support Garments,Total Actual Cost,21133.52
Hepatitis B Immunoglobulin,Total Actual Cost,246.42
Hepatitis B,Total Actual Cost,3481099.28
Hepatitis A/Typhoid Vaccine,Total Actual Cost,7008236.93
Hepatitis A/Hepatitis B,Total Actual Cost,6096428.69
Hepatitis A,Total Actual Cost,10240025.02
Heparinoid,Total Actual Cost,5423958.66
Heparin Sodium,Total Actual Cost,44382.37
Heparin Flushes,Total Actual Cost,217367.61
Heparin Calcium,Total Actual Cost,8016.17
Helicobacter Pylori Eradication Therapy,Total Actual Cost,32.43
Hamamelis,Total Actual Cost,411.86
Hamamalis,Total Actual Cost,612.70
Haloperidol Decanoate,Total Actual Cost,120827.07
Haloperidol,Total Actual Cost,1532340.86
Halibut Liver Oil,Total Actual Cost,23.93
Haemophilus Influenzae B/Meningococcal C,Total Actual Cost,22387.77
Haemoph Influenzae/Dip Tet Pert Polio,Total Actual Cost,532.63
Guaifenesin,Total Actual Cost,16451.94
Griseofulvin,Total Actual Cost,699733.30
Gripe Mixtures,Total Actual Cost,495.70
Granisetron Hydrochloride,Total Actual Cost,104798.78
Granisetron,Total Actual Cost,49921.55
Goserelin Acetate,Total Actual Cost,39408172.63
Golimumab,Total Actual Cost,195406.55
Glycopyrronium Bromide,Total Actual Cost,18120079.48
Glyceryl Trinitrate,Total Actual Cost,9807574.98
Glycerol,Total Actual Cost,682525.55
Gluten Free/Wheat Free/Low Protein Pasta,Total Actual Cost,891.96
Gluten Free/Wheat Free/Low Protein Mixes,Total Actual Cost,3974.46
Gluten Free/Wheat Free/Low Protein Bisc,Total Actual Cost,5890.76
Gluten Free/Wheat Free Pasta,Total Actual Cost,2278481.83
Gluten Free/Wheat Free Mixes,Total Actual Cost,456618.51
Gluten Free/Wheat Free Meals,Total Actual Cost,39.88
Gluten Free/Wheat Free Grains/Flours,Total Actual Cost,72738.42
Gluten Free/Wheat Free Cooking Aids,Total Actual Cost,1268.32
Gluten Free/Wheat Free Cereals,Total Actual Cost,864502.30
Gluten Free/Wheat Free Cakes/Pastries,Total Actual Cost,1046.26
Gluten Free/Wheat Free Bread,Total Actual Cost,1656959.49
Gluten Free/Wheat Free Biscuits,Total Actual Cost,708754.95
Gluten Free/Low Protein Pasta,Total Actual Cost,49906.74
Gluten Free/Low Protein Mixes,Total Actual Cost,33471.61
Gluten Free/Low Protein Meals,Total Actual Cost,13916.24
Gluten Free/Low Protein Grains/Flours,Total Actual Cost,16283.48
Gluten Free/Low Protein Cooking Aids,Total Actual Cost,3638.72
Gluten Free/Low Protein Cereals,Total Actual Cost,21413.83
Gluten Free/Low Protein Bread,Total Actual Cost,100064.66
Gluten Free/Low Protein Biscuits,Total Actual Cost,42495.86
Gluten Free Pasta,Total Actual Cost,139850.94
Gluten Free Mixes,Total Actual Cost,3580841.44
Gluten Free Grains/Flours,Total Actual Cost,95659.42
Gluten Free Cakes/Pastries,Total Actual Cost,31.39
Gluten Free Bread,Total Actual Cost,14009014.93
Gluten Free Biscuits,Total Actual Cost,329416.90
Glutaraldehyde,Total Actual Cost,8827.36
Glucose/Glycerol,Total Actual Cost,4713.77
Glucose Blood Testing Reagents,Total Actual Cost,166101317.28
Glucose,Total Actual Cost,2154787.38
Glucosamine Sulf (Rheumatic),Total Actual Cost,43203.82
Glucosamine Hydrochloride (Rheumatic),Total Actual Cost,107198.13
Glucagon,Total Actual Cost,923136.69
Glipizide,Total Actual Cost,872720.09
Glimepiride,Total Actual Cost,1689973.15
Gliclazide,Total Actual Cost,25599855.24
Glibenclamide,Total Actual Cost,294392.09
Glatiramer Acetate,Total Actual Cost,2394.37
Gentian,Total Actual Cost,7034.58
Gentamicin Sulfate,Total Actual Cost,346039.85
Gemfibrozil,Total Actual Cost,431537.96
Gefitinib,Total Actual Cost,66.94
Gauzes & Gauze Tissue,Total Actual Cost,1814198.50
Ganirelix,Total Actual Cost,536.53
Ganciclovir,Total Actual Cost,256127.37
Gamolenic Acid,Total Actual Cost,934640.41
Galantamine,Total Actual Cost,10388306.15
Gabapentin (Neuropathic Pain),Total Actual Cost,4108.60
Gabapentin,Total Actual Cost,29256204.88
G/F /W/F /L/P Cooking Aids,Total Actual Cost,332.08
Fusidic Acid,Total Actual Cost,8141818.78
Furosemide/Potassium,Total Actual Cost,1648.27
Furosemide,Total Actual Cost,13353499.55
Fulvestrant,Total Actual Cost,266179.35
Fuller's Earth,Total Actual Cost,195.70
Fructose,Total Actual Cost,1175.25
Frovatriptan,Total Actual Cost,1281794.73
Freeze Sprays & Gels,Total Actual Cost,72633.89
Framycetin Sulfate,Total Actual Cost,6.55
Fosinopril Sodium,Total Actual Cost,395635.19
Fosfomycin Trometamol,Total Actual Cost,430576.80
Fosfomycin Calcium,Total Actual Cost,29109.70
Fosamprenavir Calcium,Total Actual Cost,27.25
Formoterol Fumarate,Total Actual Cost,4762055.80
Formaldehyde,Total Actual Cost,19951.26
Fondaparinux Sodium,Total Actual Cost,273493.44
Follitropin Beta,Total Actual Cost,180.14
Follitropin Alfa & Lutropin Alfa,Total Actual Cost,111.57
Follitropin Alfa,Total Actual Cost,49462.25
Folic Acid,Total Actual Cost,6480346.64
Foam,Total Actual Cost,271.53
Fluvoxamine Maleate,Total Actual Cost,540641.78
Fluvastatin Sodium,Total Actual Cost,881562.82
Fluticasone Propionate (Top),Total Actual Cost,67525.11
Fluticasone Propionate (Nsl),Total Actual Cost,13249763.51
Fluticasone Propionate (Inh),Total Actual Cost,346174501.11
Fluticasone Prop/Azelastine HCl (Nsl),Total Actual Cost,1260313.95
Fluticasone Furoate,Total Actual Cost,7521742.98
Flutamide,Total Actual Cost,59725.32
Flurbiprofen Sodium,Total Actual Cost,8177.47
Flurbiprofen,Total Actual Cost,107593.10
Flurazepam Hydrochloride,Total Actual Cost,7.99
Fluphenazine Hydrochloride,Total Actual Cost,8721.96
Fluphenazine Decanoate,Total Actual Cost,252265.05
Flupentixol Hydrochloride,Total Actual Cost,559075.33
Flupentixol Decanoate,Total Actual Cost,945932.37
Fluoxetine Hydrochloride,Total Actual Cost,12351034.92
Fluorouracil (Sunscreen),Total Actual Cost,3443675.91
Fluorouracil (Antimetabolites),Total Actual Cost,53.19
Fluorometholone,Total Actual Cost,181109.40
Fluorescein Sodium,Total Actual Cost,1788.96
Fluocortolone,Total Actual Cost,62241.72
Fluocinonide,Total Actual Cost,204331.84
Fluocinolone Acetonide,Total Actual Cost,1115330.34
Flunisolide,Total Actual Cost,331.23
Flunarizine Hydrochloride,Total Actual Cost,104659.32
Flumetasone Pivalate,Total Actual Cost,1149363.48
Flumazenil,Total Actual Cost,12.74
Fludroxycortide,Total Actual Cost,1477378.55
Fludrocortisone Acetate,Total Actual Cost,910263.77
Fluconazole,Total Actual Cost,1872478.05
Flucloxacillin Sodium,Total Actual Cost,19336061.69
Flucloxacillin Magnesium,Total Actual Cost,1234.84
Flubiprofen,Total Actual Cost,24991.05
Flecainide Acetate,Total Actual Cost,2419200.63
Flavoxate Hydrochloride,Total Actual Cost,213559.32
Flanges,Total Actual Cost,33235.88
Fingolimod,Total Actual Cost,15823.84
Finasteride,Total Actual Cost,5076550.66
Filters/Bridges,Total Actual Cost,153110.70
Filgrastim,Total Actual Cost,92642.04
Fidaxomicin,Total Actual Cost,170685.22
Fexofenadine Hydrochloride,Total Actual Cost,11203945.81
Fesoterodine Fumarate,Total Actual Cost,6567268.46
Ferrous Sulfate,Total Actual Cost,9701643.65
Ferrous Gluconate,Total Actual Cost,1202887.98
Ferrous Fumarate,Total Actual Cost,6602125.47
Ferrous Calcium Citrate,Total Actual Cost,61.05
Fenticonazole Nitrate,Total Actual Cost,2868.66
Fentanyl Citrate,Total Actual Cost,2726.25
Fentanyl,Total Actual Cost,51902189.09
Fenoterol Hydrobromide,Total Actual Cost,1734.50
Fenoprofen,Total Actual Cost,494.38
Fenofibrate,Total Actual Cost,5391377.44
Felodipine,Total Actual Cost,23401163.05
Felbinac,Total Actual Cost,412673.43
Felbamate,Total Actual Cost,51895.40
Febuxostat,Total Actual Cost,2684863.90
Fampridine,Total Actual Cost,2091.10
Famotidine,Total Actual Cost,431349.16
Famciclovir,Total Actual Cost,2062235.95
Faecal Collectors,Total Actual Cost,73140.93
Ezetimibe,Total Actual Cost,47588059.41
Eye Products,Total Actual Cost,19597085.96
Exenatide,Total Actual Cost,17930028.11
Exemestane,Total Actual Cost,4112588.64
Everolimus,Total Actual Cost,6628.95
Etynodiol Diacetate,Total Actual Cost,420.48
Etravirine,Total Actual Cost,557.38
Etoricoxib,Total Actual Cost,7941675.80
Etonogestrel/Ethinylestradiol,Total Actual Cost,730781.42
Etonogestrel,Total Actual Cost,11974313.01
Etomidate,Total Actual Cost,12.77
Etodolac,Total Actual Cost,2074163.51
Etilefrine Hydrochloride,Total Actual Cost,4657.07
Etidronate Disodium,Total Actual Cost,1172.05
Ethosuximide,Total Actual Cost,2176576.65
Ethinylestradiol,Total Actual Cost,4228503.77
Ethambutol Hydrochloride,Total Actual Cost,232984.55
Etanercept,Total Actual Cost,902759.13
Etamsylate,Total Actual Cost,4321.44
Estriol,Total Actual Cost,6334133.76
Estramustine Phosphate,Total Actual Cost,1901.69
Estradiol with Progestogen,Total Actual Cost,12564900.91
Estradiol Valerate,Total Actual Cost,1064154.34
Estradiol Val&Estradiol Val + Dienogest,Total Actual Cost,268543.06
Estradiol  Estriol and Estrone,Total Actual Cost,32947.66
Estradiol and Estriol with Progestogen,Total Actual Cost,55766.37
Estradiol & Nomegestrol,Total Actual Cost,64269.67
Estradiol,Total Actual Cost,16227657.11
Esomeprazole,Total Actual Cost,10436806.63
Eslicarbazepine Acetate,Total Actual Cost,988979.87
Escitalopram,Total Actual Cost,2262611.14
Erythromycin Stearate,Total Actual Cost,701309.36
Erythromycin Lactobionate,Total Actual Cost,18620.15
Erythromycin Ethylsuccinate,Total Actual Cost,3597820.01
Erythromycin,Total Actual Cost,7434413.92
Ertapenem Sodium,Total Actual Cost,100279.23
Erlotinib,Total Actual Cost,1545.66
Ergotamine Tartrate,Total Actual Cost,14961.25
Ergocalciferol,Total Actual Cost,4337356.06
Erdosteine,Total Actual Cost,84211.30
Eprosartan,Total Actual Cost,1504539.88
EpoprostenolSodium,Total Actual Cost,113.35
Epoetin Zeta,Total Actual Cost,3649.35
Epoetin Beta,Total Actual Cost,521843.07
Epoetin Alfa,Total Actual Cost,364268.91
Eplerenone,Total Actual Cost,16037298.60
Epinastine Hydrochloride,Total Actual Cost,22354.10
Ephedrine Hydrochloride,Total Actual Cost,286672.66
Enzalutamide,Total Actual Cost,123508.07
Enteral Nutrition,Total Actual Cost,232041232.28
Entecavir,Total Actual Cost,458112.05
Entacapone,Total Actual Cost,975696.42
Enoximone,Total Actual Cost,3746.39
Enoxaparin,Total Actual Cost,22391167.03
Enalapril Maleate with Diuretic,Total Actual Cost,623952.38
Enalapril Maleate,Total Actual Cost,3671885.52
Emulsifying Wax,Total Actual Cost,512000.86
Emtricitabine & Tenofovir Disoproxil,Total Actual Cost,22867.17
Emtricitabine,Total Actual Cost,514.05
Empagliflozin/Metformin,Total Actual Cost,5177.14
Empagliflozin,Total Actual Cost,842379.23
Emollients,Total Actual Cost,30727479.84
Emollient Bath & Shower Preparations,Total Actual Cost,10478999.20
Emedastine,Total Actual Cost,53659.22
Eltrombopag,Total Actual Cost,61583.57
Eletriptan,Total Actual Cost,500781.98
Elastic Hosiery,Total Actual Cost,10567034.42
Eflornithine Monohydrate Chloride,Total Actual Cost,2341374.20
Efavirenz,Total Actual Cost,886.10
Edoxaban,Total Actual Cost,9582.68
Econazole Nitrate,Total Actual Cost,65443.14
Dydrogesterone,Total Actual Cost,3852.52
Dutasteride,Total Actual Cost,4847615.87
Duloxetine Hydrochloride,Total Actual Cost,46337137.32
Dulaglutide,Total Actual Cost,290089.04
Dry Mouth Products,Total Actual Cost,1318692.24
Dronedarone Hydrochloride,Total Actual Cost,1670228.09
Dried Factor VIII Fraction,Total Actual Cost,1857.34
Drainable Dribbling Appliances,Total Actual Cost,1705.23
Doxycycline Monohydrate,Total Actual Cost,347200.35
Doxycycline Hyclate,Total Actual Cost,4980870.13
Doxorubicin Hydrochloride,Total Actual Cost,842.44
Doxepin Hydrochloride,Total Actual Cost,65509.17
Doxepin,Total Actual Cost,4684883.47
Doxazosin Mesilate,Total Actual Cost,18003355.16
Douches,Total Actual Cost,165.99
Dosulepin Hydrochloride,Total Actual Cost,3442356.99
Dorzolamide & Timolol,Total Actual Cost,6162917.80
Dorzolamide,Total Actual Cost,1857548.72
Dornase Alfa,Total Actual Cost,8162564.93
Donepezil Hydrochloride,Total Actual Cost,3222167.72
Domperidone,Total Actual Cost,4800724.44
Dolutegravir,Total Actual Cost,2260.98
Docusate Sodium,Total Actual Cost,7347466.22
Dithranol,Total Actual Cost,97488.26
Disulfiram,Total Actual Cost,1017259.24
Distigmine Bromide,Total Actual Cost,26243.19
Disopyramide Phosphate,Total Actual Cost,206208.24
Disopyramide,Total Actual Cost,416063.91
Disodium Edetate,Total Actual Cost,1231.44
Discharge Solidifying Agents,Total Actual Cost,1426813.40
Dipyridamole & Aspirin,Total Actual Cost,1223665.62
Dipyridamole,Total Actual Cost,7455955.30
Dipivefrine Hydrochloride,Total Actual Cost,76.90
Dipipanone Hydrochloride,Total Actual Cost,2718733.48
Diphtheria,Total Actual Cost,2998340.07
Diphenhydramine Hydrochloride,Total Actual Cost,156671.62
Diphenhydramine HCl/Pholcodine,Total Actual Cost,2.62
Dimeticone (Parasiticidal),Total Actual Cost,266174.44
Dimeticone (Barrier),Total Actual Cost,747954.13
Dimethyl Sulfoxide,Total Actual Cost,714.08
Dimethyl Fumar,Total Actual Cost,1971.64
Dimenhydrinate/Cinnarizine,Total Actual Cost,122945.96
Diltiazem Hydrochloride,Total Actual Cost,31288582.16
Diloxanide Furoate,Total Actual Cost,1081.08
Dihydrotachysterol,Total Actual Cost,12265.46
Dihydrocodeine Tartrate,Total Actual Cost,8876909.33
Digoxin,Total Actual Cost,14885733.66
Digitoxin,Total Actual Cost,1303.47
Diflunisal,Total Actual Cost,0.02
Diflucortolone Valerate,Total Actual Cost,65834.86
Diethylstilbestrol,Total Actual Cost,2566327.55
Diethylamine Salicylate,Total Actual Cost,1582000.50
Dicycloverine Hydrochloride,Total Actual Cost,11961781.69
Dicycloverine HCl Compound Preparations,Total Actual Cost,208449.26
Diclofenac Sodium,Total Actual Cost,24322625.99
Diclofenac Potassium,Total Actual Cost,290570.07
Dichlorobenzyl Alcohol,Total Actual Cost,179.78
Dibrompropamidine Isetionate,Total Actual Cost,2415.85
Dibasic Potassium Phosphate,Total Actual Cost,684.10
Diazoxide,Total Actual Cost,399053.37
Diazepam,Total Actual Cost,8675875.82
Diamorphine Hydrochloride (Systemic),Total Actual Cost,3929835.88
Diamorphine Hydrochloride,Total Actual Cost,523.55
Dextromoramide Tartrate,Total Actual Cost,14301.26
